route_number,origin,destination,onwards_count,return_count,first_stop,last_stop,first_bus,last_bus
290F,Hayath Nagar Bus Station,Jubilee Bus Station,42,51,Jubilee Bus Station,Hayath Nagar Bus Station,9:15 AM,9:30 PM
279,Chilakalaguda,Ibrahimpatnam Bus Depot,47,49,Ibrahimpatnam Bus Depot,Chilakalaguda,4:20 AM,10:40 AM
250S,Charlapally,Chilakalaguda,25,25,Secunderabad/Chilkalguda Circle Bus Stop,Charlapally,5:30 AM,10:42 PM
90L/300,Chilakalaguda,Mehdipatnam,62,58,Mehdipatnam Bus Stop,Chilakalaguda,8:25 AM,4:20 PM
90L/226,NGOS Colony,L,82,62,Keerthimahal Bus Stop,NGO’s Colony Bus Stop,4:00 AM,4:50 AM
90L,Jubliee Bus Station,L,32,28,L.B. Nagar Ring Road,HPS High School,1:01 AM,2:00 PM
90d,Secunderabad Bus Station,Dilsukhnagar,31,31,Dilsukhnagar Bus Station,Secunderabad Bus Station 2,6:20 AM,9:35 PM
47Y/90U,Uppal X Roads,Film Nagar,43,45,Film Nagar Bus Stop,Uppal X Road Bus Stop,6:00 AM,3:25 PM
47Y/90D,Dilsukhnagar,Film Nagar,60,59,Film Nagar Bus Stop,Dilsukhnagar,6:00 AM,3:25 PM
10H/250C,Chengicherla Bus Depot,Kondapur Bus Depot,84,84,Kondapur Bus Depot,Chengicherla Bus Depot,10:30 AM,11:40 AM
6H/216G,ECIL X Road Bus Terminal,Gachibowli X Road,62,68,"Gachibowli,M L NAYAK",ECIL,9:35 AM,9:35 AM
6H,ECIL X Road Bus Terminal,Towlichowki,53,57,Tolichowki,ECIL,6:25 AM,7:00 AM
26D,Shapur Nagar,Secunderabad (Medchal),19,20,Secunderabad Bus Station 2,Shapur Nagar Bus Stand,5:15 AM,7:25 PM
29Q,Qutubullapur 2,Secunderabad (Medchal),22,21,Secunderabad Bus Station 2,Qutubullapur 2,7:45 AM,7:50 PM
226L/229,Medchal Bus Terminal,Lingampally,62,56,Lingampally Bus Station,Medchal Bus Terminal,2:46 AM,6:20 PM
228,Medchal,Ranigunj Bridgeflat Showroom,27,26,Ranigunj,Medchal,6:00 AM,7:50 PM
229B,Bhadurpally,Secunderabad (Medchal),29,33,Secunderabad Bus Station 2,Bhadurpally,7:15 AM,4:30 PM
229V,Gowdavalli,Secunderabad (Medchal),29,26,Secunderabad Bus Station 2,Gowdavalli,5:10 AM,8:29 PM
649,Mehdipatnam,Medchal Bus Terminal,57,56,Medchal Bus Terminal,Mehdipatnam Bus Stop,8:30 AM,7:25 PM
185,Kukatpally Bus Depot,Koti Bus Terminal,23,22,Koti Bus Terminus,Kukatpally Bus Depot,6:12 AM,8:35 PM
113C,Uppal Bus Stand,ESI Hospital,35,36,SR Nagar Bus Stop,Uppal Gandhi Statue,7:06 AM,9:01 PM
41N,Jagadgirigutta,Nampally,37,37,Public Gardens Bus Stop,Jagadgirigutta,5:00 AM,10:30 PM
19M/224,Mehdipatnam,Miyapur Bus Depot,44,54,Miyapur bus depot,Mehdipatnam Bus Stop,5:45 AM,2:00 PM
19M,KPHB 4th Phase,Mehdipatnam,42,42,Mehdipatnam Bus Stop,KPHB 4th Phase,6:55 AM,12:52 PM
19K,Mehdipatnam,KPHB 3rd Phase Colony,36,38,KPHB 3rd Phase Colony,Mehdipatnam Bus Stop,5:24 AM,5:34 PM
19F/A,Aramghar,Borabanda,45,43,Borabanda Bus Stand,Aramghar,5:05 AM,8:35 PM
19F,Borabanda,Mehdipatnam,27,29,Mehdipatnam Bus Stop,Borabanda Bus Stand,6:01 AM,8:30 PM
9X/283D,Central Bus Station (CBS),Suraram Colony,55,59,Suraram Colony Bus Stop,Central Bus Station (CBS),5:15 AM,6:10 PM
9X/272G,Central Bus Station (CBS),Gandimaisamma X Road,58,62,Gandimaysamma X Road Bus Stop,Central Bus Station (CBS),11:15 AM,7:35 PM
9X/171M,Central Bus Station (CBS),Gajula Ramaram,54,59,Gajularamaram Bus Stop,Central Bus Station (CBS),6:40 AM,6:30 PM
9X,Jeedimetla Bus Depot,Central Bus Station (CBS),56,52,Central Bus Station,Jeedimetla Bus Depot,4:45 AM,10:10 AM
9M-1,Chandrayan Gutta X Road,Sanath Nagar Terminal,46,47,Sanath Nagar Bus Depot,Chandrayan Gutta X Road,5:50 AM,11:20 AM
9M,Sanath Nagar Terminal,Central Bus Station (CBS),34,32,Central Bus Station,Sanath Nagar Bus Depot,1:30 PM,9:35 PM
9K/283K,Suraram Colony,Afzalgunj Terminal,60,59,Afzalgunj Bus Terminus,Suraram Colony Bus Stop,4:01 AM,4:25 PM
9K/272G,Central Bus Station (CBS),Afzalgunj Terminal,54,58,Gandimaysamma X Road Bus Stop,Central Bus Station,11:15 AM,7:35 PM
280T,Tenugudem,Koti Bus Terminal,30,33,Koti Bus Terminus,Thenugudem,5:15 AM,7:15 PM
245J,Dayara,Koti Bus Terminal,35,36,Koti Bus Terminus,Dayara,5:50 AM,4:05 PM
